ID,Plaintext Name,Horizons Name,Simbad Name,Solar System Flag,RA (hours),DEC,RA (deg),RA (solsys),DEC (solsys),Obs Time
34,5335 Damocles,5335 Damocles (1991 DA),,1,,,,,,93
35,beta Pic,,bet Pic,0,5.788083333,-51.066389,86.82125,,,94
64,Saturn,Saturn (699),,1,,,,,,123
65,Neptune,Neptune (899),,1,,,,,,124
66,L5 Kordylewsky cloud,EM-L5,,1,,,,,,125
67,C/2019 Q4 (Borisov),C/2019 Q4 (90004555),,1,,,,,,126
68,1I/'Oumuamua,'Oumuamua (A/2017 U1),,1,,,,,,127
69,TW Hya,,TW Hya,0,11.03108333,-34.704722,165.46625,,,128
70,EPIC 203937317,,DoAr 24,0,16.43808333,-24.339444,246.57125,,,129
71,GM Aur,,GM Aur,0,4.9197222,30.366389,73.795833,,,130
72,tau Cet,,tau Cet,0,1.7344722,-15.9375,26.017083,,,131
73,kappa Psc,,kap Psc,0,23.44888887,1.255556,351.733333,,,132
74,Altair,,Altair,0,19.84638887,8.868333,297.695833,,,133
75,NGC 2547 ID8,,2MASS J08090250-4858172,0,8.150694467,-48.971389,122.260417,,,134
76,BD+20 307,,BD+20 307,0,1.9139722,21.306111,28.709583,,,135
77,NGC 7293*,,NGC 7293,0,22.4940278,-20.837222,337.410417,,,136
78,G29-38,,ZZ Psc,0,23.47988887,5.248333,352.198333,,,137
79,WD J0914+1914,,SDSS J091405.30+191412.2,0,9.234805533,19.236667,138.522083,,,138
80,Mercury,Mercury (199),,1,,,,,,139
81,K2-229,,K2-229,0,12.4582222,-6.721944,186.873333,,,140
82,Mars,Mars (499),,1,,,,,,141
